http2_core_fuzz:  1000000 iterations
[ 10000] elapsed= 8.413232000s
[ 20000] elapsed= 16.693580000s
[ 30000] elapsed= 25.012589000s
[ 40000] elapsed= 33.386884000s
[ 50000] elapsed= 41.726837000s
[ 60000] elapsed= 50.144808000s
[ 70000] elapsed= 58.555956000s
[ 80000] elapsed= 66.921202000s
[ 90000] elapsed= 75.286679000s
[ 100000] elapsed= 83.687381000s
[ 110000] elapsed= 92.102305000s
[ 120000] elapsed= 100.497546000s
[ 130000] elapsed= 108.828649000s
[ 140000] elapsed= 117.175446000s
[ 150000] elapsed= 125.600363000s
[ 160000] elapsed= 134.027307000s
[ 170000] elapsed= 142.425535000s
[ 180000] elapsed= 150.755769000s
[ 190000] elapsed= 159.170661000s
[ 200000] elapsed= 167.492663000s
[ 210000] elapsed= 175.825668000s
[ 220000] elapsed= 184.081433000s
[ 230000] elapsed= 192.418665000s
[ 240000] elapsed= 200.801701000s
[ 250000] elapsed= 209.272201000s
[ 260000] elapsed= 217.591030000s
[ 270000] elapsed= 225.973408000s
[ 280000] elapsed= 234.351823000s
[ 290000] elapsed= 242.829437000s
[ 300000] elapsed= 251.160403000s
[ 310000] elapsed= 259.590986000s
[ 320000] elapsed= 267.856242000s
[ 330000] elapsed= 276.293772000s
[ 340000] elapsed= 284.675390000s
[ 350000] elapsed= 293.179162000s
[ 360000] elapsed= 301.555154000s
[ 370000] elapsed= 309.985213000s
[ 380000] elapsed= 318.410871000s
[ 390000] elapsed= 326.859283000s
[ 400000] elapsed= 335.270480000s
[ 410000] elapsed= 343.712347000s
[ 420000] elapsed= 352.053635000s
[ 430000] elapsed= 360.486194000s
[ 440000] elapsed= 368.875904000s
[ 450000] elapsed= 377.309036000s
[ 460000] elapsed= 385.646455000s
[ 470000] elapsed= 394.062930000s
[ 480000] elapsed= 402.426444000s
[ 490000] elapsed= 410.761524000s
[ 500000] elapsed= 419.226499000s
[ 510000] elapsed= 427.564988000s
[ 520000] elapsed= 435.875974000s
[ 530000] elapsed= 444.322469000s
[ 540000] elapsed= 452.803807000s
[ 550000] elapsed= 461.154321000s
[ 560000] elapsed= 469.451952000s
[ 570000] elapsed= 477.819816000s
[ 580000] elapsed= 486.172318000s
[ 590000] elapsed= 494.643465000s
[ 600000] elapsed= 502.949088000s
[ 610000] elapsed= 511.337282000s
[ 620000] elapsed= 519.667631000s
[ 630000] elapsed= 528.175072000s
[ 640000] elapsed= 536.549212000s
[ 650000] elapsed= 544.926759000s
[ 660000] elapsed= 553.391184000s
[ 670000] elapsed= 561.799115000s
[ 680000] elapsed= 570.044189000s
[ 690000] elapsed= 578.291844000s
[ 700000] elapsed= 586.489200000s
[ 710000] elapsed= 594.663705000s
[ 720000] elapsed= 602.835830000s
[ 730000] elapsed= 611.124126000s
[ 740000] elapsed= 619.346015000s
[ 750000] elapsed= 627.529915000s
[ 760000] elapsed= 635.698915000s
[ 770000] elapsed= 643.944375000s
[ 780000] elapsed= 652.127234000s
[ 790000] elapsed= 660.350745000s
[ 800000] elapsed= 668.589607000s
[ 810000] elapsed= 676.767979000s
[ 820000] elapsed= 684.958494000s
[ 830000] elapsed= 693.159798000s
[ 840000] elapsed= 701.421617000s
[ 850000] elapsed= 709.628560000s
[ 860000] elapsed= 717.845048000s
[ 870000] elapsed= 725.994509000s
[ 880000] elapsed= 734.225195000s
[ 890000] elapsed= 742.499133000s
[ 900000] elapsed= 750.713462000s
[ 910000] elapsed= 758.975598000s
[ 920000] elapsed= 767.159388000s
[ 930000] elapsed= 775.432418000s
[ 940000] elapsed= 783.640286000s
[ 950000] elapsed= 791.921863000s
[ 960000] elapsed= 800.155045000s
[ 970000] elapsed= 808.478268000s
[ 980000] elapsed= 816.778144000s
[ 990000] elapsed= 824.980627000s
[ 1000000] elapsed= 833.198617000s
=== final ===
Hpack.Decode  : total= 1000000 OK_True= 3566 OK_False= 993749 Constraint= 0 Storage= 0 Program= 0 Other= 2685
Huffman.Decode: total= 1000000 OK_True= 331063 OK_False= 668937 Constraint= 0 Storage= 0 Program= 0 Other= 0
Int_Codec N=4 : total= 1000000 OK_True= 991693 OK_False= 8307 Constraint= 0 Storage= 0 Program= 0 Other= 0
Int_Codec N=5 : total= 1000000 OK_True= 995871 OK_False= 4129 Constraint= 0 Storage= 0 Program= 0 Other= 0
Int_Codec N=6 : total= 1000000 OK_True= 997965 OK_False= 2035 Constraint= 0 Storage= 0 Program= 0 Other= 0
Int_Codec N=7 : total= 1000000 OK_True= 998978 OK_False= 1022 Constraint= 0 Storage= 0 Program= 0 Other= 0
