http2_core_fuzz:  5000000 iterations
[ 10000] elapsed= 6.400376000s
[ 20000] elapsed= 12.721069000s
[ 30000] elapsed= 19.148206000s
[ 40000] elapsed= 25.591190000s
[ 50000] elapsed= 32.110096000s
[ 60000] elapsed= 38.595109000s
[ 70000] elapsed= 45.086839000s
[ 80000] elapsed= 51.545019000s
[ 90000] elapsed= 57.999989000s
[ 100000] elapsed= 64.488476000s
[ 110000] elapsed= 71.001604000s
[ 120000] elapsed= 77.525256000s
[ 130000] elapsed= 83.956095000s
[ 140000] elapsed= 90.409690000s
[ 150000] elapsed= 96.906119000s
[ 160000] elapsed= 103.417018000s
[ 170000] elapsed= 109.952487000s
[ 180000] elapsed= 116.392192000s
[ 190000] elapsed= 122.870527000s
[ 200000] elapsed= 129.316209000s
[ 210000] elapsed= 135.765112000s
[ 220000] elapsed= 142.153659000s
[ 230000] elapsed= 148.642207000s
[ 240000] elapsed= 155.091072000s
[ 250000] elapsed= 161.620043000s
[ 260000] elapsed= 168.043241000s
[ 270000] elapsed= 174.526018000s
[ 280000] elapsed= 181.002511000s
[ 290000] elapsed= 187.567106000s
[ 300000] elapsed= 193.987974000s
[ 310000] elapsed= 200.510808000s
[ 320000] elapsed= 206.906522000s
[ 330000] elapsed= 213.412439000s
[ 340000] elapsed= 219.874540000s
[ 350000] elapsed= 226.487037000s
[ 360000] elapsed= 232.978857000s
[ 370000] elapsed= 239.533255000s
[ 380000] elapsed= 246.042607000s
[ 390000] elapsed= 252.555895000s
[ 400000] elapsed= 259.047387000s
[ 410000] elapsed= 265.600624000s
[ 420000] elapsed= 272.050524000s
[ 430000] elapsed= 278.542095000s
[ 440000] elapsed= 285.039587000s
[ 450000] elapsed= 291.562721000s
[ 460000] elapsed= 297.994661000s
[ 470000] elapsed= 304.543125000s
[ 480000] elapsed= 311.002116000s
[ 490000] elapsed= 317.485527000s
[ 500000] elapsed= 324.027789000s
[ 510000] elapsed= 330.485946000s
[ 520000] elapsed= 336.921454000s
[ 530000] elapsed= 343.415503000s
[ 540000] elapsed= 350.009072000s
[ 550000] elapsed= 356.465669000s
[ 560000] elapsed= 362.888213000s
[ 570000] elapsed= 369.338830000s
[ 580000] elapsed= 375.799587000s
[ 590000] elapsed= 382.315398000s
[ 600000] elapsed= 388.788822000s
